time,open,high,low,close,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Volume,Volume MA,Relative Vol
1660311000,17.8,20.14,7,13.84,14.876412496353183,15.569083089514642,17.539157223644118,19.903128401773962,24.182049529411767,NaN,NaN,NaN,NaN,13.411111111111106,13.065384615384618,17.617619047619048,22.796176470588236,24.541174,NaN,NaN,NaN,NaN,1,0,0,0,1,0,1,0,0,1,0,0,6688284,955891.25,5.202049820156565
1660570200,13.82,13.91,11.37,13.23,14.547129997082546,15.234928362441122,17.14741565785829,19.52180677881545,23.752557391003464,NaN,NaN,NaN,NaN,13.749999999999993,12.934615384615386,16.842857142857145,22.323823529411765,24.481974000000005,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,851990,991630.45,0.6388413227641202
1660656600,11.6,12.99,10.33,11.66,13.969703997666038,14.72422431066382,16.64855968896208,19.072560677168852,23.278339454101367,NaN,NaN,NaN,NaN,13.994444444444438,12.736153846153847,16.025714285714283,21.94058823529412,24.394174000000003,NaN,NaN,NaN,NaN,1,0,0,1,0,0,1,0,0,1,0,0,743459,1019745.85,0.5395966493497862
1660743000,11.52,11.6599,10.01,10.1,13.19576319813283,14.063620837711845,16.05323608087462,18.559842924187773,22.761541828450333,NaN,NaN,NaN,NaN,14.071111111111103,12.744615384615384,15.130952380952378,21.51529411764706,24.269154000000004,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,379299,1033063.6,0.2737593388103218
1660829400,10.1,12.5,10.1,10.71,12.698610558506264,13.584532146610153,15.567487346249655,18.111280471377043,22.288932344981692,NaN,NaN,NaN,NaN,14.133333333333328,12.799999999999999,14.299047619047618,21.10411764705882,24.126354000000003,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1067956,1080127.95,0.7548731259043123
1660915800,10.5,11.11,9.9,10.24,12.206888446805012,13.10674183995156,15.083170314772413,17.661493015869784,21.816425194198096,NaN,NaN,NaN,NaN,12.985555555555548,12.804615384615383,13.469523809523807,20.528823529411767,23.980954,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,325096,1083324.7,0.2309328265609405
1661175000,9.86,10.4,9.5,10.01,11.76751075744401,12.664350148529909,14.621973013429466,17.224264843534367,21.353428127758956,NaN,NaN,NaN,NaN,12.40777777777777,12.846923076923074,12.906190476190474,19.79764705882353,23.754554000000002,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,292130,1082987.65,0.20631914234049353
1661261400,9.92,10.35,9.7,10.05,11.424008605955208,12.290871555882779,14.206339103117697,16.814306852475262,20.910156436474292,NaN,NaN,NaN,NaN,12.121111111111103,12.896153846153844,12.507619047619047,19.04911764705882,23.477200000000003,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,126235,1080262.95,0.08903574044723167
1661347800,9.84,10.1,9.6,9.72,11.083206884764166,11.923604190756668,13.79849009374336,16.408917889476676,20.47132677229883,NaN,NaN,NaN,NaN,11.062222222222214,12.863076923076921,12.169999999999998,18.265,23.097600000000003,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,122680,1080133.35,0.08640494949959918
1661434200,9.73,10.1,8.86,9.33,10.732565507811334,11.553089306362859,13.392263721584873,16.004408295792295,20.034411996914564,NaN,NaN,NaN,NaN,10.561111111111105,11.998461538461536,11.903333333333329,17.461470588235294,22.844200000000004,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,147406,1073939.05,0.10369541841277499
